#Date,Adj Close
2015-12-29,14
2015-12-21,13.983001
2015-12-14,13.863996
2015-12-07,13.814411
2015-11-30,14.627606
2015-11-23,14.687109
2015-11-16,14.81603
2015-11-09,14.459017
2015-11-02,14.617689
2015-10-26,14.240843
2015-10-19,14.677192
2015-10-13,14.042502
2015-10-05,14.032585
2015-09-28,13.387979
2015-09-21,13.576402
2015-09-14,13.437564
2015-09-08,13.586319
2015-08-31,13.0508
2015-08-24,14.330095
2015-08-17,14.221009
2015-08-10,15.520138
2015-08-04,15.539972
2015-07-27,15.539972
2015-07-20,15.321798
2015-07-13,15.490387
2015-07-06,14.895367
2015-06-29,15.490387
2015-06-22,15.629226
2015-06-15,15.123458
2015-06-08,15.341632
2015-06-01,15.758147
2015-05-25,15.649059
2015-05-18,15.57964
2015-05-11,15.004454
2015-05-04,14.954868
2015-04-27,15.301965
2015-04-20,15.044122
2015-04-13,14.667274
2015-04-06,14.647441
2015-03-30,14.240843
2015-03-23,14.4491
2015-03-16,14.478851
2015-03-09,14.369763
2015-03-02,14.240843
2015-02-23,14.111921
2015-02-17,13.933415
2015-02-09,13.358228
2015-02-02,13.159888
2015-01-26,12.961547
2015-01-19,12.812792
2015-01-12,12.574783
2015-01-05,12.495447
2014-12-29,13.021049
2014-12-22,13.086502
2014-12-15,12.949265
2014-12-08,12.694396
2014-12-01,13.400186
2014-11-24,12.802226
2014-11-17,12.684593
2014-11-10,12.733606
2014-11-03,12.272884
2014-10-27,12.586568
2014-10-20,11.390648
2014-10-14,10.880912
2014-10-06,11.273016
2014-09-29,12.008213
2014-09-22,12.341502
2014-09-15,12.106239
2014-09-08,12.018016
2014-09-02,11.802358
2014-08-25,11.616108
2014-08-18,11.723937
2014-08-11,11.586699
2014-08-05,11.371043
2014-07-28,11.674924
2014-07-21,11.704331
2014-07-14,11.557292
2014-07-07,11.518082
2014-06-30,11.674924
2014-06-23,11.420055
2014-06-16,11.616108
2014-06-09,11.331832
2014-06-02,11.371043
2014-05-26,10.998543
2014-05-20,10.880912
2014-05-12,10.626043
2014-05-05,10.655451
2014-04-28,10.792688
2014-04-21,10.567227
2014-04-14,10.753477
2014-04-07,10.331964
2014-03-31,10.841702
2014-03-24,10.773082
2014-03-17,10.380978
2014-03-10,10.606438
2014-03-03,11.302423
2014-02-24,11.116175
2014-02-18,11.057358
2014-02-10,10.812293
2014-02-03,10.959332
2014-01-27,10.812293
2014-01-20,11.282819
2014-01-13,11.900384
2014-01-06,11.900384
2013-12-30,11.792555
2013-12-23,11.949397
2013-12-16,11.627484
2013-12-09,11.296385
2013-12-02,11.43272
2013-11-25,11.744345
2013-11-18,11.530103
2013-11-11,11.43272
2013-11-04,10.897115
2013-10-28,10.789994
2013-10-21,10.867901
2013-10-15,11.101619
2013-10-07,10.926331
2013-09-30,10.692612
2013-09-23,11.160048
2013-09-16,11.072404
2013-09-09,10.721827
2013-09-03,10.488109
2013-08-26,10.059625
2013-08-19,10.439418
2013-08-12,10.527062
2013-08-06,10.390726
2013-07-29,11.052928
2013-07-22,10.614705
2013-07-15,11.296385
2013-07-08,11.082143
2013-07-02,10.887378
2013-06-24,10.468632
2013-06-17,10.264129
2013-06-10,9.572712
2013-06-03,10.020672
2013-05-27,10.342034
